AAVN,AAVON MOVING & STORAGE,,,,,
AAVQ,ACTION AIR DELIVERY INC,,,,,
AAVR,ALL AMERICAN VAN & STORAGE INC,,,,,
AAVT,"ALESTRA, VINCENT A",,,,,
AAWD,ALLEN AIRWAYS LTD,,,,,
AAWF,AARDWOLF TRANSFER CO,,,,,
AAWG,AMANDA TOWING,,,,,
AAWJ,A-ALMAGUER WHOLESALE DISTRIBUTORS C,,,,,
AAWQ,ALL ACCESS WORLDWIDE INC,,,,,
AAXA,AAA EXPRESS PARCELS LTD,,,,,
AAXB,A & A EXPRESS INC,,,,,
AAXC,AAA TRANSPORT INC,,,,,
AAXD,ALL AXIS SYSTEMS LTD,,,,,
AAXH,AMERIMEX AIR CHARTERS,,,,,
AAXI,A & A TRANSFER INC,,,,,
AAXJ,ALL ACCESS TRANSPORTATION INC,,,,,
AAXL,ATA TRANSPORTATION LLC,,,,,
AAXM,AAT TRUCKING,,,,,
AAXN,A & M TRANSPORT,,,,,
AAXO,ARST-ALEX INC,,,,,
AAXW,ARTIC AIR EXPRESS INC,,,,,
AAXY,AA TRANSPORT,,,,,
AAYD,"ALARCON ARIAS, DANIELA",,,,,
AAYI,ALL AMERICAN BOY INC,,,,,
AAZP,ANACONDA TRANSPORT,,,,,
AAZT,ARA TRANSPORTATION,,,,,
AB,AKRON BARBERTON CLUSTER RAILWAY COM,,,,,
ABAO,ACE OF BAITS INC,,,,,
ABAP,ABATE TRANSPORTATION LLC,,,,,
ABBA,ABBA HOLDINGS LTD,,,,,
ABBB,ABBOTT BUS LINES INC,,,,,
ABBC,ABBEYS SPECIALIZED HAULERS LLC,,,,,
ABBE,APB SERVICES,,,,,
ABBF,A BEST BUY PREMIUM FUEL & TRUCKING,,,,,
ABBM,ATLANTIC BOAT TRANSPORTATION INC,,,,,
ABBT,ABBOTT OIL COMPANY INC,,,,,
ABBU,ATLANTIC BULK CARRIERS LTD,,,,,
ABBX,ABBOTT LABS,,,,,
ABBY,ABBY GAS SERVICE,,,,,
ABCA,AMERICAN BEST CARE TRANSPORTATION L,,,,,
ABCF,ABC/FRY-WAGNER INC,,,,,
ABCH,A B C MOVING AND STORAGE INC,,,,,
ABCI,ATLANTIC BULK CARRIERS MANAGEMENT L,,,,,
ABCL,ATLANTIC BULK CARRIERS INC,,,,,
ABCP,ALUMI-BUNK CORPORATION,,,,,
ABCQ,AUTO BODY COMPLETE INC,,,,,
ABCR,ABSOLUTE COURIER & TRUCKING INC,,,,,
ABCS,ABCO LOGISTICS,,,,,
ABCT,ABC AUTOTRANSPORTES,,,,,
ABCV,ATLANTIC BULK CARRIER CORPORATION,,,,,
ABCX,ABC RECYCLING INC,,,,,
ABCY,ABC TRANSFER & DELIVERY INC,,,,,
ABDD,ABARCA TRANSPORTATION LLC,,,,,
ABDI,ABRO DISTRIBUTION SERVICES LLC,,,,,
ABDJ,ABS COURIERS INC,,,,,
ABDP,ASTORIA BUILDERS SUPPLY,,,,,
ABDQ,ALABAMA BAG DE MEXICO,,,,,
ABDR,A & B TRUCKING LLC,,,,,
ABDV,A-B DIVERSIFIED LLC,,,,,
ABEA,ALLEN BEARINGS & TECHNOLOGIES LTD,,,,,
ABEB,ABE LOGISTICS INC,,,,,
ABEC,A BETTER COURIER,,,,,
ABED,ATLANTIC BEVERAGE EXPRESS LLC,,,,,
ABEE,A B C,,,,,
ABEF,ABEC TRUCKING LLC,,,,,
ABEG,AIR BERLIN,,,,,
ABEH,ALBRECHT TRUCKING CO INC,,,,,
ABEL,ABELS EXPRESS INC,,,,,
ABEN,ALL BORDERS EXPEDITING LLC,,,,,
ABET,A BEST INC,,,,,
ABEW,A & B EQUIPMENT INC,,,,,
ABEX,ADVANCED BIOENERGY LLC,,,,,
ABFB,ABF GLOBAL SUPPLY CHAIN SERVICES,,,,,
ABFC,ABF CARTAGE INC,,,,,
ABFF,ABF FREIGHT SYSTEM CANADA LTD,,,,,
ABFG,ABSOLUTE FREIGHT INC,,,,,
ABFH,ATLANTIC BAY FISHERIES LTD,,,,,
ABFJ,AMERICAN BESTWAY TRANSPORTATION INC,,,,,
ABFK,ATKINSON BROTHERS TRUCKING,,,,,
ABFL,"A & B FREIGHT LINE, INC",,,,,
ABFP,ABC FUEL OIL COMPANY INC,,,,,
ABFQ,AUTOBAHN FREIGHT LINES LTD,,,,,
ABFR,ALBERT FARMS,,,,,
ABFS,"ABF FREIGHT SYSTEM, INC.",,,,,
ABFT,ABLE FREIGHT SERVICES INC,,,,,
ABFV,A BEDDARMAN FREIGHT SERVICE LLC,,,,,
ABFW,AMERICAS BESTWAY FINANCIAL SERVICE,,,,,
ABFZ,"ABF FREIGHT SYSTEMS, INC.",,,,,
ABGB,AMODEI BROKERAGE COMPANY,,,,,
ABGG,ABC MOVING & STORAGE INC,,,,,
ABGH,ARCTIC BRIDGE SHIPPING LIMITED,,,,,
ABGI,ABC LOGISTICS,,,,,
ABGK,AMBR TRUCKING INC,,,,,
ABGO,ACME BAG COMPANY INC,,,,,
ABGW,ABG LOGISTICS & TRANSPORTATION INC,,,,,
ABGY,ABA CARGO INC,,,,,
ABHA,ABRAHAMS MOVING & STORAGE CO INC,,,,,
ABHB,ALHAMBRA-BELMONT SPRINGS-CRYSTAL SP,,,,,
ABHE,ARBOUR SHIPPING LIMITED,,,,,
ABHH,ASPHALT BY HCI HCI TRANSPORT,,,,,
ABHJ,AUGUST BROS OIL INC,,,,,
ABHK,ABIS SHIPPING,,,,,
ABHL,ABITIBI HELICOPTERS LTD,,,,,
ABHO,ADAMS BROTHERS LLC,,,,,
ABHP,ABALONE SHIPPING LIMITED,,,,,
ABHQ,ABSOLUTE FREIGHT TRANSPORT INC,,,,,
ABHY,A B HEAVY HAULING INC,,,,,
ABIB,ANDERSON BROS INC,,,,,
ABIC,ABC TRANPORTATION INC,,,,,
ABID,ABIDE MOVING & STORAGE INC,,,,,
ABIF,AMBER TERMINAL INC,,,,,
ABIJ,AUTOBUSES BORINQUEN INC,,,,,
ABIK,ABC CARRIER LLC,,,,,
ABIM,AURORA BIOMED INC,,,,,
ABIN,ALLIED BROTHERS INTERMODAL INC,,,,,
ABIQ,ABI LOGISTICS GROUP INC,,,,,
ABIS,A BOULDER INSTITUTE INC,,,,,
ABIT,"ARBA, TIM TRUCKING INC",,,,,
ABIW,A-1 (A-1) BESTWAY INC,,,,,
ABIY,ABILITY TRANSPORTATION,,,,,
ABIZ,ABSOLUTE INTERMODAL LLC,,,,,
ABJA,AQUARIAN DE BAJA S DE RL DE CV,,,,,
ABJB,ATL BROKERAGE,,,,,
ABJD,ABEL CORPORATION,,,,,
ABJE,A B J EXPRESS INC,,,,,
ABJN,ABJ TRANSPORTATION AND LOGISTICS,,,,,
ABJO,ABEITA OIL,,,,,
ABJQ,AB BROS INC,,,,,
ABJS,ABSTEN TRUCKING LLC,,,,,
ABKC,AMANDAS BROKERAGE COMPANY,,,,,
ABKD,A & B TRUCKING,,,,,
ABKG,A & B TRUCKING CO,,,,,
ABKH,AUSTBULK/ECOSHIP SHIPPING SDN BHD,,,,,
ABKM,ASSABET MACK SERVICE INC,,,,,
ABKO,A B C TRUCKING & LOGISTICS LLC,,,,,
ABKP,ACTION BROKERAGE CORP,,,,,
ABKT,ABKID LOGISTICS INC,,,,,
ABKV,AB TRUCKING,,,,,
ABKW,AMBER TRUCKING INC,,,,,
ABLB,ARCTIC BLIZZARD SHIPPING LIMITED,,,,,
ABLC,ABLE TRUCKING INC,,,,,
ABLD,A BEE LINE MOVING & STORAGE INC,,,,,
ABLH,ABC LOGISTICS INC,,,,,
ABLK,A-ABLE TRANSFER & STORAGE INC,,,,,
ABLL,AMOS BILL CONTRACTORS INC,,,,,
ABLN,ABSOLUTE TRANSPORTATION INC,,,,,
ABLO,AMBLER COAL CO INC,,,,,
ABLR,"ABLER TRANSFER, INC",,,,,
ABLS,ABLE EXPRESS CO LLC,,,,,
ABLT,ABSOLUTE TRANSPORTATION LOGISTICS,,,,,
ABLU,ETAT-MAJOR DES FORCES ARMEES BELGES,,,,,
ABLW,ARENDS BROS LLC,,,,,
ABLY,ABL EXPRESS LLC,,,,,
ABMA,ABM MARINE LTD,,,,,
ABMC,"ATHEY, B S MILK TRANSPORTATION CO I",,,,,
ABMH,"ABLES, TIM TRUCKING COMPANY",,,,,
ABMI,A & B ALTERNATIVE MARKETING INC,,,,,
